id ha_k15 hb_k15 ha_k18 hb_k18 ha_k21 hb_k21 ha_k24 hb_k24 ha_k15_mean ha_k15_std ha_k15_cov hb_k15_mean hb_k15_std hb_k15_cov ha_k18_mean ha_k18_std ha_k18_cov hb_k18_mean hb_k18_std hb_k18_cov ha_k21_mean ha_k21_std ha_k21_cov hb_k21_mean hb_k21_std hb_k21_cov ha_k24_mean ha_k24_std ha_k24_cov hb_k24_mean hb_k24_std hb_k24_cov
K1_1 52 607 14 540 11 475 11 407 5667 3091 98 4662 2895 98 7074 2702 71 4621 2936 96 8305 997 18 4661 2993 96 8304 999 18 4685 3005 96
K1_2 19 188 2 169 1 140 0 111 2204 1048 79 2527 993 92 2568 1354 47 2668 906 77 0 0 0 2703 923 77 0 0 0 2789 901 77
K1_3 11 69 6 47 5 35 2 24 1266 758 78 1276 785 93 889 1 0 1202 700 76 889 1 0 1320 699 70 887 0 0 1497 604 70
K1_4 31 270 2 231 0 203 0 176 6096 3167 94 6194 4051 98 1916 0 0 6169 4098 97 0 0 0 6130 4157 96 0 0 0 6172 4169 96
K1_5 27 264 4 235 0 213 0 187 3687 2163 92 4276 1741 96 5114 1147 37 4237 1725 95 0 0 0 4178 1777 95 0 0 0 4151 1849 95
K1_6 20 150 3 120 3 101 2 89 2365 1165 86 1759 1334 98 1324 1113 47 1868 1285 97 1321 1113 47 1909 1241 97 1961 0 0 1976 1209 96
K1_7 18 159 0 145 0 133 0 121 3089 1928 86 3190 2887 96 0 0 0 3268 2932 96 0 0 0 3441 2941 96 0 0 0 3619 2934 96
K1_8 7 67 0 55 0 48 0 45 2227 1308 90 1534 813 65 0 0 0 1621 806 65 0 0 0 1598 783 65 0 0 0 1511 730 64
K1_9 6 137 0 122 0 109 0 100 1462 1185 86 805 516 87 0 0 0 765 438 58 0 0 0 766 441 58 0 0 0 777 434 58
K1_10 14 114 2 101 2 84 2 71 1997 824 70 1609 1053 94 901 0 0 1496 1070 92 898 0 0 1361 1041 92 895 0 0 1288 1009 92
